Date,AGG,SPY,AAPL,CISCO
10/7/13,162.0195454,310.03,64.71708627,20.25694524
10/8/13,159.0908914,303.23,63.81350173,20.03127809
10/9/13,161.4053292,298.23,64.56290635,19.91180724
10/10/13,164.4764101,305.174,64.96759546,20.36314154
10/11/13,165.7137441,310.889,65.38873751,20.60208323
10/14/13,166.4347805,310.7,65.81704454,20.65518138
10/15/13,164.3784915,306.4,66.16733282,20.51358631
10/16/13,166.2211401,310.49,66.49028799,20.349867
10/17/13,155.6281365,310.77,66.93955925,20.16048359
10/18/13,154.6934597,328.931,67.5220462,20.31977805
10/21/13,153.8745048,326.44,69.17689294,20.292344
10/22/13,155.75276,332.54,68.97859528,20.04455262
10/23/13,156.4648947,326.756,69.65429341,19.69498979
10/24/13,158.2719365,332.21,70.57645383,19.80074361
10/25/13,157.4262766,363.39,69.78671299,19.87198363
10/28/13,157.8713607,358.16,70.30657264,19.9560557
10/29/13,162.1174639,362.7,68.55539662,20.19942224
10/30/13,160.3638322,361.08,69.64580157,20.09322593
10/31/13,159.5270739,364.03,69.35469078,19.9649054
11/1/13,159.5448773,359.002,69.00015658,19.96933024
11/4/13,160.4706524,358.74,69.89179947,19.98260478
11/5/13,158.3164449,358.892,69.71917635,20.41181485
11/6/13,160.3549305,356.18,69.5229353,20.60208323
11/7/13,161.0797896,343.56,68.39811902,20.45163846
11/8/13,161.0708407,350.31,69.47488904,20.80562615
11/11/13,163.6570662,354.378,69.27309476,20.74810315
11/12/13,163.8270949,349.53,69.40148504,21.00031937
11/13/13,164.256641,356.22,69.48476522,21.23483621
11/14/13,163.0574914,367.396,70.48919893,18.90736719
11/15/13,163.9344814,369.17,70.0662584,19.05781195
11/18/13,165.0799377,366.18,69.21717425,18.8409945
11/19/13,165.7779501,364.94,69.3400926,18.9560405
11/20/13,165.7242568,362.57,68.73284128,18.78789635
11/21/13,164.7756758,368.92,69.55176306,19.00028896
11/22/13,162.2431436,372.31,69.37345805,18.99143926
11/25/13,160.1312086,376.64,69.89929765,18.82329511
11/26/13,158.6725416,381.37,71.18853891,18.77019696
11/27/13,160.1580552,386.71,72.86481947,18.82329511
11/29/13,160.7934255,393.62,74.21411855,18.80559573
12/2/13,158.8246725,392.3,73.5681633,18.66400066
12/3/13,157.5718297,384.66,75.5823692,18.81444542
12/4/13,157.2675679,385.96,75.40593267,18.80471076
12/5/13,157.5718297,384.49,75.79310543,18.5047062
12/6/13,158.9947012,386.95,74.74129276,18.83214481
12/9/13,158.8067748,384.89,75.59678308,18.77904665
12/10/13,158.5025129,387.78,75.47933667,18.77019696
12/11/13,156.7843285,382.19,74.92013161,18.47815712
12/12/13,155.146684,381.25,74.81069292,18.15071851
12/13/13,154.636598,384.24,73.99524115,17.91177683
12/16/13,159.155781,388.97,74.40496896,18.30116328
12/17/13,157.2854656,387.65,74.06997977,18.51355589
12/18/13,159.9164355,395.96,73.50677086,18.58435343
12/19/13,161.2766649,395.19,72.66462673,18.64630127
12/20/13,161.0976873,402.2,73.27321266,18.69939942
12/23/13,163.0753892,402.92,76.08525337,19.08878588
12/24/13,163.961328,399.2,75.76227575,19.19498218
